estaca;area;esfuerzo;size;distancia;mata;cueva
1;35,2006;1;0;21;0;0
2;35,2006;1;1;2;0;1
2;35,2006;1;4;3;0;4
2;35,2006;1;7;4;0;7
2;35,2006;1;5;5;1;4
2;35,2006;1;13;6;6;7
2;35,2006;1;12;7;5;7
2;35,2006;1;16;8;5;11
2;35,2006;1;9;9;3;6
2;35,2006;1;11;10;5;6
2;35,2006;1;6;11;5;1
2;35,2006;1;4;12;0;4
2;35,2006;1;1;13;0;1
2;35,2006;1;1;14;0;1
2;35,2006;1;8;16;4;4
2;35,2006;1;17;17;10;7
2;35,2006;1;12;18;5;7
2;35,2006;1;16;19;9;7
2;35,2006;1;19;20;8;11
3;35,2006;1;2;2;0;2
3;35,2006;1;3;3;0;3
3;35,2006;1;5;4;0;5
3;35,2006;1;2;5;0;2
3;35,2006;1;12;6;6;6
3;35,2006;1;5;7;3;2
3;35,2006;1;10;8;1;9
3;35,2006;1;15;9;7;8
3;35,2006;1;17;10;7;10
3;35,2006;1;22;11;16;6
3;35,2006;1;19;12;12;7
3;35,2006;1;12;13;7;5
3;35,2006;1;11;14;7;4
3;35,2006;1;11;15;7;4
3;35,2006;1;12;16;6;6
3;35,2006;1;13;17;7;6
3;35,2006;1;11;18;3;8
3;35,2006;1;12;19;6;6
3;35,2006;1;18;20;15;3
4;35,2006;1;1;2;1;0
4;35,2006;1;1;3;0;1
4;35,2006;1;3;4;1;2
4;35,2006;1;2;5;1;1
4;35,2006;1;3;6;1;2
4;35,2006;1;5;7;2;3
4;35,2006;1;4;8;0;4
4;35,2006;1;3;9;0;3
4;35,2006;1;6;10;1;5
4;35,2006;1;6;11;1;5
4;35,2006;1;6;12;3;3
4;35,2006;1;9;13;3;6
4;35,2006;1;4;14;2;2
4;35,2006;1;9;15;1;8
4;35,2006;1;4;16;3;1
4;35,2006;1;4;17;3;1
4;35,2006;1;5;18;2;3
4;35,2006;1;7;19;4;3
4;35,2006;1;13;20;1;12
5;35,2006;1;1;3;1;0
5;35,2006;1;3;4;1;2
5;35,2006;1;2;6;0;2
5;35,2006;1;1;7;1;0
5;35,2006;1;3;8;3;0
5;35,2006;1;2;9;1;1
5;35,2006;1;4;10;1;3
5;35,2006;1;3;11;3;0
5;35,2006;1;2;12;1;1
5;35,2006;1;1;13;0;1
5;35,2006;1;9;14;4;5
5;35,2006;1;12;15;10;2
5;35,2006;1;8;16;4;4
5;35,2006;1;16;17;13;3
5;35,2006;1;12;18;12;0
5;35,2006;1;10;19;10;0
5;35,2006;1;7;20;7;0
6;35,2006;1;3;2;3;0
6;35,2006;1;2;3;2;0
6;35,2006;1;6;5;6;0
6;35,2006;1;6;6;6;0
6;35,2006;1;6;7;6;0
6;35,2006;1;8;8;7;1
6;35,2006;1;7;9;4;3
6;35,2006;1;9;10;8;1
6;35,2006;1;8;11;8;0
6;35,2006;1;12;12;6;6
6;35,2006;1;4;13;2;2
6;35,2006;1;15;14;12;3
6;35,2006;1;5;15;3;2
6;35,2006;1;4;16;2;2
6;35,2006;1;9;17;7;2
6;35,2006;1;5;18;2;3
6;35,2006;1;12;19;8;4
6;35,2006;1;8;20;4;4
7;35,2006;1;6;1;6;0
7;35,2006;1;3;2;2;1
7;35,2006;1;15;3;14;1
7;35,2006;1;9;4;9;0
7;35,2006;1;13;5;10;3
7;35,2006;1;15;6;11;4
7;35,2006;1;10;7;9;1
7;35,2006;1;14;8;14;0
7;35,2006;1;16;9;13;3
7;35,2006;1;13;10;10;3
7;35,2006;1;14;11;7;7
7;35,2006;1;9;12;6;3
7;35,2006;1;8;13;5;3
7;35,2006;1;13;14;12;1
7;35,2006;1;16;15;12;4
7;35,2006;1;14;16;10;4
7;35,2006;1;13;17;13;0
7;35,2006;1;11;18;8;3
7;35,2006;1;12;19;10;2
7;35,2006;1;26;20;18;8
8;35,2006;1;3;5;0;3
8;35,2006;1;1;7;0;1
8;35,2006;1;3;9;0;3
8;35,2006;1;5;10;0;5
8;35,2006;1;2;11;0;2
8;35,2006;1;6;12;0;6
8;35,2006;1;2;13;1;1
8;35,2006;1;4;14;0;4
8;35,2006;1;2;15;0;2
8;35,2006;1;5;16;2;3
8;35,2006;1;9;17;2;7
8;35,2006;1;20;18;7;13
8;35,2006;1;17;19;5;12
8;35,2006;1;30;20;17;13
9;35,2006;1;2;2;2;0
9;35,2006;1;2;3;2;0
9;35,2006;1;5;4;3;2
9;35,2006;1;7;5;6;1
9;35,2006;1;1;6;1;0
9;35,2006;1;1;7;1;0
9;35,2006;1;1;8;0;1
9;35,2006;1;3;9;3;0
9;35,2006;1;3;10;3;0
9;35,2006;1;2;11;2;0
9;35,2006;1;1;12;1;0
9;35,2006;1;6;13;6;0
9;35,2006;1;6;14;5;1
9;35,2006;1;2;15;2;0
9;35,2006;1;5;16;5;0
9;35,2006;1;6;17;5;1
9;35,2006;1;6;18;6;0
9;35,2006;1;8;19;6;2
9;35,2006;1;2;20;1;1
10;35,2006;1;1;1;0;1
10;35,2006;1;1;2;0;1
10;35,2006;1;1;3;1;0
10;35,2006;1;6;4;6;0
10;35,2006;1;5;5;4;1
10;35,2006;1;5;6;5;0
10;35,2006;1;8;7;6;2
10;35,2006;1;3;8;2;1
10;35,2006;1;4;9;2;2
10;35,2006;1;9;10;6;3
10;35,2006;1;8;11;4;4
10;35,2006;1;4;12;0;4
10;35,2006;1;4;13;3;1
10;35,2006;1;4;14;2;2
10;35,2006;1;4;15;1;3
10;35,2006;1;4;16;3;1
10;35,2006;1;8;17;5;3
10;35,2006;1;7;18;6;1
10;35,2006;1;9;19;5;4
10;35,2006;1;15;20;15;0
11;35,2006;1;1;2;0;1
11;35,2006;1;6;3;2;4
11;35,2006;1;4;4;2;2
11;35,2006;1;8;5;5;3
11;35,2006;1;6;6;4;2
11;35,2006;1;4;7;2;2
11;35,2006;1;5;8;1;4
11;35,2006;1;13;9;7;6
11;35,2006;1;9;10;3;6
11;35,2006;1;11;11;4;7
11;35,2006;1;5;12;2;3
11;35,2006;1;6;13;4;2
11;35,2006;1;1;14;0;1
11;35,2006;1;6;15;2;4
11;35,2006;1;3;16;2;1
11;35,2006;1;2;17;0;2
11;35,2006;1;6;18;1;5
11;35,2006;1;9;19;3;6
11;35,2006;1;7;20;1;6
12;35,2006;1;3;1;3;0
12;35,2006;1;5;2;5;0
12;35,2006;1;6;3;5;1
12;35,2006;1;8;4;8;0
12;35,2006;1;9;5;9;0
12;35,2006;1;4;6;4;0
12;35,2006;1;7;7;7;0
12;35,2006;1;7;8;7;0
12;35,2006;1;5;9;4;1
12;35,2006;1;3;10;3;0
12;35,2006;1;11;11;9;2
12;35,2006;1;10;12;10;0
12;35,2006;1;9;13;6;3
12;35,2006;1;8;14;7;1
12;35,2006;1;11;15;10;1
12;35,2006;1;15;16;12;3
12;35,2006;1;14;17;11;3
12;35,2006;1;14;18;9;5
12;35,2006;1;5;19;4;1
12;35,2006;1;6;20;4;2
13;35,2006;1;3;1;0;3
13;35,2006;1;1;2;0;1
13;35,2006;1;6;3;0;6
13;35,2006;1;7;5;0;7
13;35,2006;1;5;6;0;5
13;35,2006;1;5;7;0;5
13;35,2006;1;8;8;0;8
13;35,2006;1;11;9;0;11
13;35,2006;1;9;10;0;9
13;35,2006;1;11;11;0;11
13;35,2006;1;8;12;0;8
13;35,2006;1;12;13;2;10
13;35,2006;1;11;14;0;11
13;35,2006;1;4;15;0;4
13;35,2006;1;11;16;0;11
13;35,2006;1;11;17;0;11
13;35,2006;1;4;18;0;4
13;35,2006;1;10;19;0;10
13;35,2006;1;14;20;0;14
14;35,2006;1;3;5;1;2
14;35,2006;1;4;6;1;3
14;35,2006;1;11;7;11;0
14;35,2006;1;21;8;18;3
14;35,2006;1;22;9;19;3
14;35,2006;1;19;10;15;4
14;35,2006;1;11;11;11;0
14;35,2006;1;16;12;13;3
14;35,2006;1;21;13;18;3
14;35,2006;1;14;14;11;3
14;35,2006;1;10;15;10;0
14;35,2006;1;17;16;16;1
14;35,2006;1;11;17;8;3
14;35,2006;1;22;18;20;2
14;35,2006;1;21;19;19;2
14;35,2006;1;14;20;14;0
15;35,2006;1;2;2;0;2
15;35,2006;1;2;3;0;2
15;35,2006;1;4;4;0;4
15;35,2006;1;6;5;2;4
15;35,2006;1;8;6;2;6
15;35,2006;1;9;7;2;7
15;35,2006;1;9;8;4;5
15;35,2006;1;13;9;7;6
15;35,2006;1;12;10;5;7
15;35,2006;1;8;11;2;6
15;35,2006;1;15;12;6;9
15;35,2006;1;11;13;4;7
15;35,2006;1;14;14;2;12
15;35,2006;1;8;15;3;5
15;35,2006;1;13;16;6;7
15;35,2006;1;15;17;5;10
15;35,2006;1;21;18;9;12
15;35,2006;1;22;19;12;10
15;35,2006;1;26;20;20;6
16;35,2006;1;2;1;0;2
16;35,2006;1;1;2;0;1
16;35,2006;1;2;3;0;2
16;35,2006;1;4;4;0;4
16;35,2006;1;2;5;0;2
16;35,2006;1;14;6;0;14
16;35,2006;1;6;7;0;6
16;35,2006;1;8;8;2;6
16;35,2006;1;14;9;1;13
16;35,2006;1;15;10;1;14
16;35,2006;1;7;11;1;6
16;35,2006;1;12;12;1;11
16;35,2006;1;5;13;0;5
16;35,2006;1;14;14;2;12
16;35,2006;1;14;15;4;10
16;35,2006;1;14;16;4;10
16;35,2006;1;9;17;1;8
16;35,2006;1;7;18;1;6
16;35,2006;1;6;19;0;6
16;35,2006;1;9;20;0;9
17;35,2006;1;1;5;0;1
17;35,2006;1;14;6;12;2
17;35,2006;1;14;7;9;5
17;35,2006;1;12;8;10;2
17;35,2006;1;4;9;2;2
17;35,2006;1;11;10;7;4
17;35,2006;1;20;11;14;6
17;35,2006;1;14;12;12;2
17;35,2006;1;17;13;11;6
17;35,2006;1;20;14;14;6
17;35,2006;1;29;15;20;9
17;35,2006;1;41;16;31;10
17;35,2006;1;37;17;30;7
17;35,2006;1;33;18;25;8
17;35,2006;1;17;19;11;6
17;35,2006;1;18;20;13;5
18;35,2006;1;5;1;5;0
18;35,2006;1;4;2;4;0
18;35,2006;1;2;5;2;0
18;35,2006;1;2;6;2;0
18;35,2006;1;11;7;11;0
18;35,2006;1;11;8;11;0
18;35,2006;1;14;9;14;0
18;35,2006;1;20;10;20;0
18;35,2006;1;11;11;8;3
18;35,2006;1;12;12;11;1
18;35,2006;1;16;13;15;1
18;35,2006;1;11;14;10;1
18;35,2006;1;16;15;16;0
18;35,2006;1;26;16;22;4
18;35,2006;1;21;17;21;0
18;35,2006;1;12;18;9;3
18;35,2006;1;14;19;12;2
18;35,2006;1;13;20;11;2
19;35,2006;1;1;3;1;0
19;35,2006;1;3;4;3;0
19;35,2006;1;5;5;5;0
19;35,2006;1;6;6;6;0
19;35,2006;1;2;7;2;0
19;35,2006;1;2;9;2;0
19;35,2006;1;4;11;3;1
19;35,2006;1;3;12;3;0
19;35,2006;1;3;13;2;1
19;35,2006;1;7;14;6;1
19;35,2006;1;4;15;4;0
19;35,2006;1;7;16;6;1
19;35,2006;1;9;17;6;3
19;35,2006;1;20;18;20;0
19;35,2006;1;24;19;21;3
19;35,2006;1;37;20;34;3
20;35,2006;1;2;5;2;0
20;35,2006;1;4;6;4;0
20;35,2006;1;5;7;5;0
20;35,2006;1;3;8;3;0
20;35,2006;1;4;9;4;0
20;35,2006;1;1;10;1;0
20;35,2006;1;2;11;2;0
20;35,2006;1;1;12;1;0
20;35,2006;1;9;13;9;0
20;35,2006;1;19;14;16;3
20;35,2006;1;11;15;10;1
20;35,2006;1;20;16;18;2
20;35,2006;1;23;17;20;3
20;35,2006;1;16;18;12;4
20;35,2006;1;19;19;18;1
20;35,2006;1;21;20;14;7
21;35,2006;1;8;2;8;0
21;35,2006;1;6;3;6;0
21;35,2006;1;10;4;10;0
21;35,2006;1;9;5;9;0
21;35,2006;1;13;6;12;1
21;35,2006;1;21;7;21;0
21;35,2006;1;3;8;3;0
21;35,2006;1;10;9;10;0
21;35,2006;1;12;10;12;0
21;35,2006;1;17;11;17;0
21;35,2006;1;13;12;13;0
21;35,2006;1;10;13;10;0
21;35,2006;1;7;14;7;0
21;35,2006;1;3;15;3;0
21;35,2006;1;5;16;5;0
21;35,2006;1;2;17;2;0
21;35,2006;1;2;18;2;0
21;35,2006;1;8;19;8;0
21;35,2006;1;12;20;12;0
22;35,2006;1;1;2;0;1
22;35,2006;1;2;3;1;1
22;35,2006;1;4;4;3;1
22;35,2006;1;13;5;10;3
22;35,2006;1;5;6;5;0
22;35,2006;1;10;7;6;4
22;35,2006;1;5;8;2;3
22;35,2006;1;7;9;6;1
22;35,2006;1;16;10;12;4
22;35,2006;1;16;11;9;7
22;35,2006;1;14;12;8;6
22;35,2006;1;12;13;8;4
22;35,2006;1;15;14;10;5
22;35,2006;1;19;15;12;7
22;35,2006;1;13;16;7;6
22;35,2006;1;10;17;8;2
22;35,2006;1;15;18;6;9
22;35,2006;1;17;19;6;11
22;35,2006;1;27;20;17;10
23;35,2006;1;1;4;1;0
23;35,2006;1;1;5;1;0
23;35,2006;1;2;6;2;0
23;35,2006;1;6;7;4;2
23;35,2006;1;5;8;5;0
23;35,2006;1;2;9;2;0
23;35,2006;1;4;10;0;4
23;35,2006;1;8;11;8;0
23;35,2006;1;10;12;9;1
23;35,2006;1;11;13;7;4
23;35,2006;1;9;14;7;2
23;35,2006;1;11;15;9;2
23;35,2006;1;15;16;12;3
23;35,2006;1;17;17;16;1
23;35,2006;1;11;18;11;0
23;35,2006;1;23;19;18;5
23;35,2006;1;8;20;6;2
24;35,2006;1;3;1;1;2
24;35,2006;1;3;2;3;0
24;35,2006;1;3;3;3;0
24;35,2006;1;6;4;4;2
24;35,2006;1;6;5;4;2
24;35,2006;1;8;6;3;5
24;35,2006;1;5;7;3;2
24;35,2006;1;16;8;8;8
24;35,2006;1;19;9;10;9
24;35,2006;1;17;10;10;7
24;35,2006;1;13;11;11;2
24;35,2006;1;8;12;6;2
24;35,2006;1;3;13;2;1
24;35,2006;1;9;14;3;6
24;35,2006;1;16;15;11;5
24;35,2006;1;14;16;6;8
24;35,2006;1;15;17;8;7
24;35,2006;1;28;18;10;18
24;35,2006;1;22;19;10;12
24;35,2006;1;17;20;8;9
25;35,2006;1;1;2;1;0
25;35,2006;1;1;3;1;0
25;35,2006;1;2;4;1;1
25;35,2006;1;4;7;4;0
25;35,2006;1;2;8;2;0
25;35,2006;1;2;9;1;1
25;35,2006;1;2;10;2;0
25;35,2006;1;6;11;5;1
25;35,2006;1;7;12;5;2
25;35,2006;1;8;13;6;2
25;35,2006;1;4;14;2;2
25;35,2006;1;10;15;6;4
25;35,2006;1;16;16;12;4
25;35,2006;1;14;17;9;5
25;35,2006;1;12;18;5;7
25;35,2006;1;9;19;5;4
25;35,2006;1;10;20;9;1
26;35,2006;1;3;4;3;0
26;35,2006;1;3;5;2;1
26;35,2006;1;1;6;0;1
26;35,2006;1;5;7;4;1
26;35,2006;1;8;8;6;2
26;35,2006;1;4;9;3;1
26;35,2006;1;4;10;3;1
26;35,2006;1;2;11;1;1
26;35,2006;1;2;12;1;1
26;35,2006;1;1;14;0;1
26;35,2006;1;4;16;2;2
26;35,2006;1;3;17;2;1
26;35,2006;1;2;18;0;2
26;35,2006;1;3;19;1;2
26;35,2006;1;9;20;4;5
27;35,2006;1;2;4;2;0
27;35,2006;1;4;5;4;0
27;35,2006;1;4;6;4;0
27;35,2006;1;5;7;5;0
27;35,2006;1;6;8;6;0
27;35,2006;1;10;9;10;0
27;35,2006;1;5;10;5;0
27;35,2006;1;4;11;4;0
27;35,2006;1;5;12;5;0
27;35,2006;1;4;13;4;0
27;35,2006;1;15;14;14;1
27;35,2006;1;20;15;16;4
27;35,2006;1;18;16;14;4
27;35,2006;1;20;17;15;5
27;35,2006;1;14;18;11;3
27;35,2006;1;14;19;11;3
27;35,2006;1;25;20;18;7
28;35,2006;1;2;3;0;2
28;35,2006;1;7;4;1;6
28;35,2006;1;6;5;0;6
28;35,2006;1;8;6;1;7
28;35,2006;1;11;7;5;6
28;35,2006;1;10;8;1;9
28;35,2006;1;7;9;0;7
28;35,2006;1;4;10;1;3
28;35,2006;1;3;11;1;2
28;35,2006;1;8;12;1;7
28;35,2006;1;11;13;2;9
28;35,2006;1;10;14;4;6
28;35,2006;1;8;15;5;3
28;35,2006;1;5;16;2;3
28;35,2006;1;14;17;7;7
28;35,2006;1;6;18;0;6
28;35,2006;1;10;19;4;6
28;35,2006;1;12;20;0;12
29;35,2006;1;2;8;2;0
29;35,2006;1;5;9;5;0
29;35,2006;1;5;10;3;2
29;35,2006;1;12;11;4;8
29;35,2006;1;15;12;13;2
29;35,2006;1;11;13;8;3
29;35,2006;1;4;14;4;0
29;35,2006;1;10;15;6;4
29;35,2006;1;11;16;10;1
29;35,2006;1;24;17;20;4
29;35,2006;1;9;18;7;2
29;35,2006;1;15;19;15;0
29;35,2006;1;12;20;11;1
30;35,2006;1;3;3;3;0
30;35,2006;1;2;5;1;1
30;35,2006;1;5;6;4;1
30;35,2006;1;5;7;3;2
30;35,2006;1;7;8;6;1
30;35,2006;1;14;9;9;5
30;35,2006;1;17;10;12;5
30;35,2006;1;12;11;9;3
30;35,2006;1;10;12;3;7
30;35,2006;1;6;13;0;6
30;35,2006;1;6;14;0;6
30;35,2006;1;14;15;2;12
30;35,2006;1;21;16;6;15
30;35,2006;1;20;17;12;8
30;35,2006;1;24;18;14;10
30;35,2006;1;21;19;9;12
30;35,2006;1;24;20;14;10
31;35,2006;1;9;5;9;0
31;35,2006;1;5;6;5;0
31;35,2006;1;6;7;5;1
31;35,2006;1;15;8;13;2
31;35,2006;1;15;9;10;5
31;35,2006;1;7;10;3;4
31;35,2006;1;20;11;4;16
31;35,2006;1;13;12;7;6
31;35,2006;1;16;13;16;0
31;35,2006;1;12;14;10;2
31;35,2006;1;19;15;15;4
31;35,2006;1;21;16;17;4
31;35,2006;1;13;17;11;2
31;35,2006;1;10;18;5;5
31;35,2006;1;10;19;8;2
31;35,2006;1;8;20;3;5
32;35,2006;1;2;7;0;2
32;35,2006;1;4;8;2;2
32;35,2006;1;4;9;3;1
32;35,2006;1;7;10;6;1
32;35,2006;1;11;11;5;6
32;35,2006;1;12;12;6;6
32;35,2006;1;13;13;8;5
32;35,2006;1;8;14;6;2
32;35,2006;1;17;15;16;1
32;35,2006;1;10;16;9;1
32;35,2006;1;8;17;5;3
32;35,2006;1;11;18;10;1
32;35,2006;1;9;19;4;5
32;35,2006;1;7;20;3;4
33;35,2006;1;1;5;1;0
33;35,2006;1;1;6;0;1
33;35,2006;1;3;7;0;3
33;35,2006;1;2;8;1;1
33;35,2006;1;2;9;1;1
33;35,2006;1;1;10;1;0
33;35,2006;1;2;11;1;1
33;35,2006;1;3;12;0;3
33;35,2006;1;2;13;0;2
33;35,2006;1;2;14;1;1
33;35,2006;1;1;17;1;0
33;35,2006;1;1;18;1;0
34;35,2006;1;3;3;0;3
34;35,2006;1;1;4;0;1
34;35,2006;1;6;5;1;5
34;35,2006;1;5;6;0;5
34;35,2006;1;7;7;4;3
34;35,2006;1;15;8;6;9
34;35,2006;1;6;9;2;4
34;35,2006;1;13;10;2;11
34;35,2006;1;15;11;4;11
34;35,2006;1;11;12;4;7
34;35,2006;1;17;13;6;11
34;35,2006;1;8;14;2;6
34;35,2006;1;23;15;8;15
34;35,2006;1;16;16;5;11
34;35,2006;1;16;17;7;9
34;35,2006;1;27;18;8;19
34;35,2006;1;12;19;7;5
34;35,2006;1;24;20;9;15
35;35,2006;1;1;1;0;1
35;35,2006;1;2;3;0;2
35;35,2006;1;4;4;1;3
35;35,2006;1;1;5;1;0
35;35,2006;1;7;6;2;5
35;35,2006;1;4;7;0;4
35;35,2006;1;6;8;2;4
35;35,2006;1;9;9;5;4
35;35,2006;1;6;10;1;5
35;35,2006;1;6;11;2;4
35;35,2006;1;3;12;0;3
35;35,2006;1;14;13;1;13
35;35,2006;1;10;14;2;8
35;35,2006;1;8;15;1;7
35;35,2006;1;22;16;7;15
35;35,2006;1;13;17;5;8
35;35,2006;1;17;18;4;13
35;35,2006;1;17;19;5;12
35;35,2006;1;12;20;1;11
36;35,2006;1;1;3;1;0
36;35,2006;1;2;4;2;0
36;35,2006;1;1;5;0;1
36;35,2006;1;3;6;3;0
36;35,2006;1;4;7;4;0
36;35,2006;1;5;8;5;0
36;35,2006;1;8;9;7;1
36;35,2006;1;16;10;13;3
36;35,2006;1;27;11;25;2
36;35,2006;1;24;12;22;2
36;35,2006;1;28;13;25;3
36;35,2006;1;17;14;14;3
36;35,2006;1;34;15;30;4
36;35,2006;1;30;16;28;2
36;35,2006;1;29;17;28;1
36;35,2006;1;20;18;20;0
36;35,2006;1;16;19;16;0
36;35,2006;1;16;20;13;3
37;35,2006;1;2;3;1;1
37;35,2006;1;4;4;3;1
37;35,2006;1;3;5;2;1
37;35,2006;1;4;6;0;4
37;35,2006;1;5;7;3;2
37;35,2006;1;6;8;2;4
37;35,2006;1;8;9;2;6
37;35,2006;1;9;10;5;4
37;35,2006;1;6;11;2;4
37;35,2006;1;6;12;1;5
37;35,2006;1;6;13;0;6
37;35,2006;1;3;14;0;3
37;35,2006;1;6;15;5;1
37;35,2006;1;7;16;4;3
37;35,2006;1;9;17;5;4
37;35,2006;1;11;18;5;6
37;35,2006;1;13;19;12;1
37;35,2006;1;27;20;16;11
38;35,2006;1;3;3;2;1
38;35,2006;1;5;4;3;2
38;35,2006;1;6;5;2;4
38;35,2006;1;8;6;5;3
38;35,2006;1;7;7;6;1
38;35,2006;1;6;8;4;2
38;35,2006;1;12;9;11;1
38;35,2006;1;14;10;8;6
38;35,2006;1;11;11;8;3
38;35,2006;1;16;12;12;4
38;35,2006;1;10;13;8;2
38;35,2006;1;24;14;22;2
38;35,2006;1;15;15;13;2
38;35,2006;1;9;16;7;2
38;35,2006;1;6;17;6;0
38;35,2006;1;9;18;8;1
38;35,2006;1;14;19;10;4
38;35,2006;1;11;20;10;1
39;35,2006;1;1;5;1;0
39;35,2006;1;3;6;3;0
39;35,2006;1;1;7;0;1
39;35,2006;1;7;8;1;6
39;35,2006;1;5;9;2;3
39;35,2006;1;9;10;5;4
39;35,2006;1;10;11;5;5
39;35,2006;1;16;12;7;9
39;35,2006;1;30;13;9;21
39;35,2006;1;21;14;10;11
39;35,2006;1;31;15;17;14
39;35,2006;1;25;16;9;16
39;35,2006;1;29;17;14;15
39;35,2006;1;32;18;23;9
39;35,2006;1;20;19;13;7
39;35,2006;1;28;20;14;14
40;35,2006;1;1;2;0;1
40;35,2006;1;2;4;1;1
40;35,2006;1;3;5;3;0
40;35,2006;1;2;6;2;0
40;35,2006;1;2;7;1;1
40;35,2006;1;4;8;3;1
40;35,2006;1;8;9;6;2
40;35,2006;1;7;10;5;2
40;35,2006;1;12;11;9;3
40;35,2006;1;15;12;11;4
40;35,2006;1;17;13;9;8
40;35,2006;1;17;14;12;5
40;35,2006;1;6;15;6;0
40;35,2006;1;7;16;6;1
40;35,2006;1;6;17;6;0
40;35,2006;1;16;18;14;2
40;35,2006;1;15;19;11;4
40;35,2006;1;14;20;11;3
41;35,2006;1;2;5;0;2
41;35,2006;1;1;10;1;0
41;35,2006;1;1;14;0;1
41;35,2006;1;1;15;1;0
41;35,2006;1;1;16;1;0
41;35,2006;1;2;17;2;0
41;35,2006;1;5;18;5;0
41;35,2006;1;3;20;1;2
42;35,2006;1;0;21;0;0
43;35,2006;1;2;2;0;2
43;35,2006;1;2;3;0;2
43;35,2006;1;3;4;0;3
43;35,2006;1;3;5;0;3
43;35,2006;1;6;6;1;5
43;35,2006;1;3;7;1;2
43;35,2006;1;3;8;2;1
43;35,2006;1;2;9;1;1
43;35,2006;1;7;10;3;4
43;35,2006;1;6;11;2;4
43;35,2006;1;6;12;3;3
43;35,2006;1;6;13;0;6
43;35,2006;1;18;14;9;9
43;35,2006;1;12;15;5;7
43;35,2006;1;8;16;2;6
43;35,2006;1;7;17;2;5
43;35,2006;1;7;18;1;6
43;35,2006;1;7;19;2;5
43;35,2006;1;8;20;2;6
44;35,2006;1;6;5;6;0
44;35,2006;1;8;6;8;0
44;35,2006;1;12;7;12;0
44;35,2006;1;22;8;22;0
44;35,2006;1;22;9;22;0
44;35,2006;1;21;10;21;0
44;35,2006;1;15;11;15;0
44;35,2006;1;13;12;12;1
44;35,2006;1;7;13;7;0
44;35,2006;1;8;14;8;0
44;35,2006;1;15;15;15;0
44;35,2006;1;15;16;14;1
44;35,2006;1;31;17;31;0
44;35,2006;1;25;18;24;1
44;35,2006;1;15;19;14;1
44;35,2006;1;11;20;10;1
